trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
15,-3.5882,0.7593411089276253,0.4667,-0.2392,round_level_sweep_long_rr2.0_sl1.0_h120,2,1,1,0,1,0,-3.5882,0.6
15,-3.5882,0.7593411089276253,0.4667,-0.2392,round_level_sweep_long_rr2.0_sl1.0_h240,2,1,1,0,1,0,-3.5882,0.6
6,-4.5265,0.33792124970746545,0.3333,-0.7544,round_level_sweep_short_rr2.0_sl0.8_h120,2,0,1,0,2,1,-6.1477,0.5
6,-4.5265,0.33792124970746545,0.3333,-0.7544,round_level_sweep_short_rr2.0_sl0.8_h240,2,0,1,0,2,1,-6.1477,0.5
15,-4.5882,0.6302790514025093,0.4667,-0.3059,round_level_sweep_long_rr1.5_sl1.0_h120,2,1,1,0,1,0,-4.5882,0.6
15,-4.5882,0.6302790514025093,0.4667,-0.3059,round_level_sweep_long_rr1.5_sl1.0_h240,2,1,1,0,1,0,-4.5882,0.6
6,-4.6212,0.26290772788898636,0.3333,-0.7702,round_level_sweep_short_rr1.5_sl1.0_h120,2,0,1,0,2,1,-5.8182,0.5
6,-4.6212,0.26290772788898636,0.3333,-0.7702,round_level_sweep_short_rr1.5_sl1.0_h240,2,0,1,0,2,1,-5.8182,0.5
6,-5.5265,0.19165399017084014,0.3333,-0.9211,round_level_sweep_short_rr1.5_sl0.8_h120,2,0,1,0,2,1,-6.6477,0.5
6,-5.5265,0.19165399017084014,0.3333,-0.9211,round_level_sweep_short_rr1.5_sl0.8_h240,2,0,1,0,2,1,-6.6477,0.5
6,-6.1212,0.26411964126854365,0.1667,-1.0202,round_level_sweep_short_rr2.5_sl1.0_h120,2,0,1,0,2,1,-8.3182,0.5
6,-6.1212,0.26411964126854365,0.1667,-1.0202,round_level_sweep_short_rr2.5_sl1.0_h240,2,0,1,0,2,1,-8.3182,0.5
6,-6.6212,0.20401048303719554,0.1667,-1.1035,round_level_sweep_short_rr2.0_sl1.0_h120,2,0,1,0,2,1,-8.3182,0.5
6,-6.6212,0.20401048303719554,0.1667,-1.1035,round_level_sweep_short_rr2.0_sl1.0_h240,2,0,1,0,2,1,-8.3182,0.5
6,-7.0265,0.23188342424871825,0.1667,-1.1711,round_level_sweep_short_rr2.5_sl0.8_h120,2,0,1,0,2,1,-9.1477,0.5
6,-7.0265,0.23188342424871825,0.1667,-1.1711,round_level_sweep_short_rr2.5_sl0.8_h240,2,0,1,0,2,1,-9.1477,0.5
15,-7.0882,0.6017082010507684,0.3333,-0.4725,round_level_sweep_long_rr2.5_sl1.0_h120,2,1,1,0,1,0,-7.0882,0.6
15,-7.0882,0.6017082010507684,0.3333,-0.4725,round_level_sweep_long_rr2.5_sl1.0_h240,2,1,1,0,1,0,-7.0882,0.6
15,-9.4853,0.4996043385595813,0.3333,-0.6324,round_level_sweep_long_rr2.5_sl0.8_h120,2,0,1,0,1,0,-9.4853,0.6
15,-9.4853,0.4996043385595813,0.3333,-0.6324,round_level_sweep_long_rr2.5_sl0.8_h240,2,0,1,0,1,0,-9.4853,0.6
15,-11.9853,0.3677171917533605,0.3333,-0.799,round_level_sweep_long_rr2.0_sl0.8_h120,2,0,1,0,1,0,-11.9853,0.6
15,-11.9853,0.3677171917533605,0.3333,-0.799,round_level_sweep_long_rr2.0_sl0.8_h240,2,0,1,0,1,0,-11.9853,0.6
15,-11.9853,0.2716582804637935,0.3333,-0.799,round_level_sweep_long_rr1.5_sl0.8_h120,2,0,1,0,1,0,-11.9853,0.6
15,-11.9853,0.2716582804637935,0.3333,-0.799,round_level_sweep_long_rr1.5_sl0.8_h240,2,0,1,0,1,0,-11.9853,0.6
375,-475.3953,0.21563372603732392,0.3067,-1.2677,session_range_fade_short_rr2.5_sl1.0_h120,4,0,1,0,2,0,-432.5884,0.264
375,-475.3953,0.21563372603732392,0.3067,-1.2677,session_range_fade_short_rr2.5_sl1.0_h240,4,0,1,0,2,0,-432.5884,0.264
413,-544.7008,0.15236362131141776,0.2809,-1.3189,session_range_fade_short_rr2.0_sl1.0_h120,4,0,1,0,2,0,-499.1907,0.2712
413,-544.7008,0.15236362131141776,0.2809,-1.3189,session_range_fade_short_rr2.0_sl1.0_h240,4,0,1,0,2,0,-499.1907,0.2712
480,-638.8227,0.10810343286999548,0.2,-1.3309,session_range_fade_short_rr1.5_sl1.0_h120,4,0,1,0,2,0,-581.2911,0.2687
480,-638.8227,0.10810343286999548,0.2,-1.3309,session_range_fade_short_rr1.5_sl1.0_h240,4,0,1,0,2,0,-581.2911,0.2687
393,-642.0254,0.12620704888923126,0.2036,-1.6337,session_range_fade_long_rr2.5_sl1.0_h120,4,0,1,0,2,0,-593.4284,0.2723
393,-642.0254,0.12620704888923126,0.2036,-1.6337,session_range_fade_long_rr2.5_sl1.0_h240,4,0,1,0,2,0,-593.4284,0.2723
439,-700.4542,0.10165747018410749,0.2278,-1.5956,session_range_fade_long_rr2.0_sl1.0_h120,4,0,1,0,2,0,-649.3572,0.262
439,-700.4542,0.10165747018410749,0.2278,-1.5956,session_range_fade_long_rr2.0_sl1.0_h240,4,0,1,0,2,0,-649.3572,0.262
466,-789.7637,0.12346474419376914,0.2361,-1.6948,session_range_fade_short_rr2.5_sl0.8_h120,4,0,1,0,2,0,-711.7675,0.2876
466,-789.7637,0.12346474419376914,0.2361,-1.6948,session_range_fade_short_rr2.5_sl0.8_h240,4,0,1,0,2,0,-711.7675,0.2876
498,-797.8215,0.06396563070156924,0.1526,-1.6021,session_range_fade_long_rr1.5_sl1.0_h120,4,0,1,0,2,0,-743.3468,0.2691
498,-797.8215,0.06396563070156924,0.1526,-1.6021,session_range_fade_long_rr1.5_sl1.0_h240,4,0,1,0,2,0,-743.3468,0.2691
524,-872.0773,0.10180202505091053,0.1966,-1.6643,session_range_fade_short_rr2.0_sl0.8_h120,4,0,1,0,2,0,-784.6016,0.2824
524,-872.0773,0.10180202505091053,0.1966,-1.6643,session_range_fade_short_rr2.0_sl0.8_h240,4,0,1,0,2,0,-784.6016,0.2824
482,-919.6765,0.10060802680661435,0.2075,-1.908,session_range_fade_long_rr2.5_sl0.8_h120,4,0,1,0,2,0,-860.2686,0.2614
482,-919.6765,0.10060802680661435,0.2075,-1.908,session_range_fade_long_rr2.5_sl0.8_h240,4,0,1,0,2,0,-860.2686,0.2614
588,-1013.346,0.06975151568172791,0.1327,-1.7234,session_range_fade_short_rr1.5_sl0.8_h120,4,0,1,0,2,0,-914.8903,0.2942
588,-1013.346,0.06975151568172791,0.1327,-1.7234,session_range_fade_short_rr1.5_sl0.8_h240,4,0,1,0,2,0,-914.8903,0.2942
529,-1021.2585,0.06859387620048929,0.1588,-1.9305,session_range_fade_long_rr2.0_sl0.8_h120,4,0,1,0,2,0,-948.6893,0.2647
529,-1021.2585,0.06859387620048929,0.1588,-1.9305,session_range_fade_long_rr2.0_sl0.8_h240,4,0,1,0,2,0,-948.6893,0.2647
600,-1176.4292,0.04630726432522158,0.1067,-1.9607,session_range_fade_long_rr1.5_sl0.8_h120,4,0,1,0,2,0,-1099.0543,0.2833
600,-1176.4292,0.04630726432522158,0.1067,-1.9607,session_range_fade_long_rr1.5_sl0.8_h240,4,0,1,0,2,0,-1099.0543,0.2833
