entry_ts,exit_ts,r,side,exit_reason,symbol,setup,tp_rr,sl_atr,max_hold
1721304000.0,1721325600.0,1.5917,short,time,XAUUSD,session_breakout_retest,2.0,1.5,6
1721372400.0,1721394000.0,1.9337,short,target,XAUUSD,session_breakout_retest,2.0,1.5,6
1730725200.0,1730732400.0,-1.0912,long,stop,XAUUSD,session_breakout_retest,2.0,1.5,6
1730815200.0,1730818800.0,-1.0816,long,stop,XAUUSD,session_breakout_retest,2.0,1.5,6
1732712400.0,1732719600.0,-1.0816,long,stop,XAUUSD,session_breakout_retest,2.0,1.5,6
1734116400.0,1734123600.0,0.3748,short,force_flat_utc,XAUUSD,session_breakout_retest,2.0,1.5,6
1742482800.0,1742508000.0,0.2722,long,force_flat_utc,XAUUSD,session_breakout_retest,2.0,1.5,6
1743080400.0,1743102000.0,1.3267,long,time,XAUUSD,session_breakout_retest,2.0,1.5,6
1745341200.0,1745359200.0,1.3434,short,force_flat_utc,XAUUSD,session_breakout_retest,2.0,1.5,6
1745589600.0,1745607600.0,-1.036,short,stop,XAUUSD,session_breakout_retest,2.0,1.5,6
1747731600.0,1747749600.0,1.9377,long,target,XAUUSD,session_breakout_retest,2.0,1.5,6
1754575200.0,1754596800.0,0.4972,long,time,XAUUSD,session_breakout_retest,2.0,1.5,6
1758798000.0,1758801600.0,-1.0719,long,stop,XAUUSD,session_breakout_retest,2.0,1.5,6
1721289600.0,1721307600.0,-1.1069,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1721844000.0,1721858400.0,0.9361,short,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1722272400.0,1722290400.0,-0.6505,short,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1723770000.0,1723791600.0,0.3278,long,time,XAUUSD,trend_pullback,2.0,1.5,6
1724403600.0,1724421600.0,1.8719,long,target,XAUUSD,trend_pullback,2.0,1.5,6
1726124400.0,1726142400.0,1.8416,long,target,XAUUSD,trend_pullback,2.0,1.5,6
1726628400.0,1726635600.0,-1.0928,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1727827200.0,1727845200.0,-1.0666,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1728295200.0,1728302400.0,-1.1095,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1733515200.0,1733518800.0,-0.0727,short,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1736215200.0,1736236800.0,0.2843,long,time,XAUUSD,trend_pullback,2.0,1.5,6
1737975600.0,1737979200.0,-1.0795,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1738944000.0,1738962000.0,-0.07,long,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1739386800.0,1739394000.0,0.1612,long,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1740146400.0,1740168000.0,0.0014,long,time,XAUUSD,trend_pullback,2.0,1.5,6
1741276800.0,1741294800.0,-0.6686,long,force_flat_utc,XAUUSD,trend_pullback,2.0,1.5,6
1751616000.0,1751619600.0,-1.1269,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1758798000.0,1758801600.0,-1.0719,long,stop,XAUUSD,trend_pullback,2.0,1.5,6
1720782000.0,1720785600.0,-1.1035,long,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1724245200.0,1724248800.0,-1.085,long,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1732262400.0,1732266000.0,-1.0891,short,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1735574400.0,1735592400.0,0.6496,long,force_flat_utc,XAUUSD,round_level_sweep,2.0,1.5,6
1738281600.0,1738303200.0,0.236,short,time,XAUUSD,round_level_sweep,2.0,1.5,6
1738306800.0,1738324800.0,-1.122,short,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1741946400.0,1741968000.0,0.2359,short,time,XAUUSD,round_level_sweep,2.0,1.5,6
1742209200.0,1742230800.0,-0.1535,short,time,XAUUSD,round_level_sweep,2.0,1.5,6
1744635600.0,1744657200.0,0.3269,long,time,XAUUSD,round_level_sweep,2.0,1.5,6
1746543600.0,1746550800.0,-1.0461,short,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1749121200.0,1749132000.0,1.9266,short,target,XAUUSD,round_level_sweep,2.0,1.5,6
1751306400.0,1751320800.0,-0.4945,short,force_flat_utc,XAUUSD,round_level_sweep,2.0,1.5,6
1751882400.0,1751904000.0,1.6345,long,time,XAUUSD,round_level_sweep,2.0,1.5,6
1754596800.0,1754604000.0,-0.5261,short,force_flat_utc,XAUUSD,round_level_sweep,2.0,1.5,6
1756371600.0,1756378800.0,-1.1405,short,stop,XAUUSD,round_level_sweep,2.0,1.5,6
1757088000.0,1757282400.0,0.6679,short,force_flat_utc,XAUUSD,round_level_sweep,2.0,1.5,6
1758031200.0,1758052800.0,-0.3382,short,time,XAUUSD,round_level_sweep,2.0,1.5,6
